humidity,soil_moisture,t_inside,t_outside
37.1,36,21.6,12
36.9,36,21.6,12
40.1,36,21.6,12
38.5,36,21.6,12
37.2,36,21.6,12
36.5,36,21.6,11.94
36.1,36,21.7,11.81
35.9,36,21.7,11.81
35.7,36,21.7,11.75
35.5,36,21.7,11.69
35.6,36,21.7,11.75
35.6,36,21.7,11.69
35.6,36,21.8,11.69
35.4,36,21.9,11.69
35.2,36,21.9,11.69
36.5,36,21.9,11.69
36.1,36,22,11.75
36,36,22,11.75
35.7,36,22,11.75
35.7,36,22.1,11.75
35.8,36,22.1,11.75
35.2,36,22.1,11.75
35,36,22.1,11.75
34.9,36,22.2,11.75
35.2,36,22.2,11.75
34.7,36,22.2,11.75
34.7,36,22.2,11.75
34.1,36,22.2,11.75
34.3,36,22.2,11.75
34.5,36,22.2,11.75
34.5,36,22.2,11.69
32.6,36,22.2,11.75
34.8,36,22.2,11.75
34.3,36,22.2,11.81
34.1,36,22.2,11.81
33.9,36,22.2,11.81
33.7,36,22.2,11.81
33.8,36,22.2,11.81
33.8,36,22.2,11.87
33.6,36,22.2,11.81
33.7,36,22.2,11.81
34.2,36,22.2,11.81
33.5,36,22.2,11.75
33.6,36,22.2,11.75
33.7,36,22.3,11.75
33.7,36,22.3,11.75
33.7,36,22.3,11.75
33.8,36,22.3,11.69
33.9,36,22.2,11.75
61.2,36,22.2,11.69
85.8,36,22.2,11.69
76.8,36,22.2,11.69
63.9,36,22.3,11.75
50,36,22.3,11.75
42.8,36,22.3,12.06
39.2,36,22.3,12.44
37.6,36,22.4,12.62
36.9,36,22.4,12.81
36.2,36,22.4,12.94
35.5,36,22.4,13.06
35.3,36,22.4,13.19
35.1,36,22.4,13.31
34.9,36,22.4,13.44
34.8,36,22.4,13.5
34.7,36,22.4,13.56
34.6,36,22.3,13.62
34.5,36,22.4,13.69
34.5,36,22.4,13.69
34.3,36,22.3,13.69
34.4,36,22.3,13.69
34.2,36,22.3,13.81
34.5,36,22.3,13.81
34.5,36,22.3,13.87
34.6,36,22.3,13.87
34.5,36,22.3,13.94
34.4,36,22.3,13.94
34.5,36,22.3,14
34.9,36,22.4,14.06
34.6,36,22.4,14.06
34.7,36,22.4,14
34.3,36,22.4,14.06
34.3,36,22.4,14.06
34.1,36,22.4,14.06
34.4,36,22.4,14.12
34.6,36,22.4,14.12
34.6,36,22.4,14.12
34.6,36,22.4,14.19
34.4,36,22.3,14.12
34.4,36,22.4,14.12
34.9,36,22.4,14.12
34.8,36,22.4,14.12
34.6,36,22.4,14.12
34.5,36,22.4,14.12
34.3,36,22.4,14.19
34.2,36,22.4,14.19
34.1,36,22.4,14.19
34.3,36,22.4,14.19
